entity_id,entity_type,timestamp,source_ip,geo_location,resource_accessed,auth_method,auth_success,session_duration,command_sequence,device_fingerprint,label
dev_0116,edge_device,2024-01-01 06:25:00,172.21.52.14,US-NY,/admin/config,certificate,True,0.5,"[""awk"", ""sed"", ""grep"", ""ls""]","{""os"": ""Windows 11"", ""mac"": ""17:d8:b0:20:1e:23"", ""proto"": ""TLS1.3""}",normal
svc_0084,service_account,2024-01-01 06:28:00,205.241.221.145,BR-SAO,/internal/keys,token,True,6.74,"[""awk"", ""ls"", ""curl""]","{""os"": ""Ubuntu 22.04"", ""mac"": ""b9:72:3e:66:47:79"", ""proto"": ""TLS1.3""}",normal
svc_0094,service_account,2024-01-01 06:30:00,64.140.22.194,UK-LDN,/internal/secrets,token,True,2.0,"[""curl"", ""grep"", ""awk""]","{""os"": ""macOS 14"", ""mac"": ""fd:f0:92:04:37:dc"", ""proto"": ""TLS1.3""}",normal
dev_0108,edge_device,2024-01-01 06:33:00,147.155.13.215,JP-TYO,/api/v1/payments,certificate,True,1.65,[],"{""os"": ""Ubuntu 22.04"", ""mac"": ""d7:0a:cf:81:16:c0"", ""proto"": ""TLS1.2""}",device_spoofing
dev_0109,edge_device,2024-01-01 06:38:00,215.103.237.203,AU-SYD,/api/v1/orders,certificate,True,0.86,[],"{""os"": ""Windows 11"", ""mac"": ""ac:97:62:59:cf:da"", ""proto"": ""TLS1.3""}",normal
dev_0119,edge_device,2024-01-01 06:43:00,220.108.40.121,UK-LDN,/api/v1/reports,certificate,True,1.54,[],"{""os"": ""macOS 14"", ""mac"": ""4f:8d:60:39:10:d6"", ""proto"": ""MQTT""}",normal
dev_0119,edge_device,2024-01-01 06:48:00,194.234.115.183,UK-LDN,/api/v1/reports,certificate,True,1.55,[],"{""os"": ""macOS 14"", ""mac"": ""4f:8d:60:39:10:d6"", ""proto"": ""MQTT""}",normal
svc_0094,service_account,2024-01-01 06:51:00,221.21.228.78,UK-LDN,/api/v1/users,token,True,2.42,[],"{""os"": ""macOS 14"", ""mac"": ""fd:f0:92:04:37:dc"", ""proto"": ""TLS1.3""}",normal
user_0040,user,2024-01-01 07:05:00,123.182.11.4,AU-SYD,/api/v1/users,password,True,14.04,[],"{""os"": ""CentOS 7"", ""mac"": ""d3:1b:60:b9:ff:e2"", ""proto"": ""TLS1.3""}",normal
dev_0119,edge_device,2024-01-01 07:24:00,91.196.58.71,UK-LDN,/api/v1/reports,certificate,True,1.37,[],"{""os"": ""macOS 14"", ""mac"": ""4f:8d:60:39:10:d6"", ""proto"": ""MQTT""}",normal
dev_0110,edge_device,2024-01-01 07:28:00,192.168.56.41,US-CA,/api/v1/orders,certificate,True,3.86,[],"{""os"": ""CentOS 7"", ""mac"": ""a5:7f:03:85:c4:78"", ""proto"": ""TLS1.3""}",normal
user_0040,user,2024-01-01 07:28:00,139.67.154.179,AU-SYD,/api/v1/reports,password,True,14.85,[],"{""os"": ""CentOS 7"", ""mac"": ""d3:1b:60:b9:ff:e2"", ""proto"": ""TLS1.3""}",normal
user_0077,user,2024-01-01 07:36:00,123.157.112.19,AU-SYD,/api/v1/users,password,True,13.55,[],"{""os"": ""macOS 14"", ""mac"": ""9e:cb:f2:81:12:61"", ""proto"": ""SSH""}",normal
user_0063,user,2024-01-01 07:41:00,212.255.115.231,AU-SYD,/api/v1/reports,password,True,38.77,[],"{""os"": ""CentOS 7"", ""mac"": ""0a:a6:57:eb:b9:2d"", ""proto"": ""MQTT""}",normal
user_0019,user,2024-01-01 07:48:00,172.28.232.118,US-NY,/api/v1/users,certificate,True,36.01,[],"{""os"": ""macOS 14"", ""mac"": ""a0:3f:99:9e:d1:a7"", ""proto"": ""MQTT""}",normal
user_0058,user,2024-01-01 07:48:00,10.51.2.176,US-TX,/api/v1/orders,certificate,True,14.82,[],"{""os"": ""Windows 11"", ""mac"": ""93:9f:b4:35:6c:4f"", ""proto"": ""MQTT""}",normal
user_0024,user,2024-01-01 08:03:00,192.168.134.5,US-TX,/api/v1/orders,token,True,32.36,[],"{""os"": ""macOS 14"", ""mac"": ""ee:d4:1f:69:d7:c7"", ""proto"": ""TLS1.3""}",normal
dev_0116,edge_device,2024-01-01 08:23:00,10.66.117.111,US-NY,/admin/config,certificate,True,0.7,"[""awk"", ""grep""]","{""os"": ""Windows 11"", ""mac"": ""17:d8:b0:20:1e:23"", ""proto"": ""TLS1.3""}",normal
user_0040,user,2024-01-01 08:24:00,214.109.29.64,AU-SYD,/api/v1/reports,password,True,10.65,[],"{""os"": ""CentOS 7"", ""mac"": ""d3:1b:60:b9:ff:e2"", ""proto"": ""TLS1.3""}",normal
svc_0087,service_account,2024-01-01 08:25:00,172.28.166.232,US-NY,/api/v1/analytics,token,True,11.42,[],"{""os"": ""Ubuntu 22.04"", ""mac"": ""9b:54:52:a5:73:b1"", ""proto"": ""TLS1.3""}",normal
svc_0085,service_account,2024-01-01 08:49:00,9.186.85.237,BR-SAO,/api/v1/analytics,token,True,8.64,[],"{""os"": ""Ubuntu 22.04"", ""mac"": ""2c:21:9e:cb:f5:d2"", ""proto"": ""TLS1.3""}",normal
dev_0119,edge_device,2024-01-01 08:49:00,161.186.36.159,UK-LDN,/api/v1/reports,certificate,True,1.63,[],"{""os"": ""macOS 14"", ""mac"": ""4f:8d:60:39:10:d6"", ""proto"": ""MQTT""}",normal
svc_0092,service_account,2024-01-01 08:55:00,212.112.225.238,UK-LDN,/api/v1/orders,token,True,9.25,[],"{""os"": ""Windows 11"", ""mac"": ""94:c4:d6:7f:51:a7"", ""proto"": ""TLS1.3""}",normal
user_0008,user,2024-01-01 08:57:00,143.73.129.28,UK-LDN,/api/v1/orders,certificate,True,6.51,[],"{""os"": ""Ubuntu 22.04"", ""mac"": ""03:24:1e:75:22:10"", ""proto"": ""SSH""}",normal
user_0078,user,2024-01-01 09:01:00,58.99.186.30,DE-BER,/api/v1/logs,certificate,True,29.91,[],"{""os"": ""CentOS 7"", ""mac"": ""bc:88:2a:d9:28:dc"", ""proto"": ""TLS1.2""}",normal
user_0047,user,2024-01-01 09:02:00,208.61.161.252,BR-SAO,/admin/users,token,True,26.15,"[""cat"", ""ls"", ""curl""]","{""os"": ""macOS 14"", ""mac"": ""65:c4:f7:36:79:c3"", ""proto"": ""SSH""}",normal
user_0067,user,2024-01-01 09:03:00,17.150.104.203,AU-SYD,/api/v1/users,password,True,27.4,[],"{""os"": ""CentOS 7"", ""mac"": ""e0:51:ba:be:90:c6"", ""proto"": ""MQTT""}",normal
user_0019,user,2024-01-01 09:04:00,192.168.200.142,US-NY,/api/v1/users,certificate,True,26.95,[],"{""os"": ""macOS 14"", ""mac"": ""a0:3f:99:9e:d1:a7"", ""proto"": ""MQTT""}",normal
user_0034,user,2024-01-01 09:09:00,85.134.18.3,AU-SYD,/api/v1/reports,password,True,13.14,[],"{""os"": ""Windows 11"", ""mac"": ""81:f4:3a:21:cd:fb"", ""proto"": ""TLS1.3""}",normal
user_0076,user,2024-01-01 09:10:00,212.212.103.158,DE-BER,/api/v1/users,certificate,True,28.07,[],"{""os"": ""macOS 14"", ""mac"": ""44:16:b4:ad:59:ed"", ""proto"": ""MQTT""}",normal
user_0018,user,2024-01-01 09:16:00,98.88.36.183,DE-BER,/api/v1/payments,certificate,True,15.81,[],"{""os"": ""macOS 14"", ""mac"": ""13:37:de:b0:a0:df"", ""proto"": ""TLS1.3""}",normal
user_0036,user,2024-01-01 09:17:00,210.110.98.98,UK-LDN,/api/v1/reports,password,True,11.06,[],"{""os"": ""Ubuntu 22.04"", ""mac"": ""01:d1:e6:f0:95:10"", ""proto"": ""TLS1.2""}",normal
user_0028,user,2024-01-01 09:18:00,196.234.130.196,AU-SYD,/api/v1/orders,token,True,10.53,[],"{""os"": ""Windows 11"", ""mac"": ""0d:9f:c0:cb:65:26"", ""proto"": ""TLS1.2""}",normal
user_0018,user,2024-01-01 09:19:00,192.168.8.75,US-CA,/api/v1/users,certificate,True,14.86,[],"{""os"": ""macOS 14"", ""mac"": ""13:37:de:b0:a0:df"", ""proto"": ""TLS1.3""}",normal
user_0001,user,2024-01-01 09:21:00,216.189.208.19,AU-SYD,/api/v1/payments,password,True,19.7,[],"{""os"": ""Ubuntu 22.04"", ""mac"": ""ac:34:2f:c2:31:b7"", ""proto"": ""SSH""}",normal
user_0010,user,2024-01-01 09:25:00,204.148.131.11,UK-LDN,/api/v1/logs,password,True,13.83,[],"{""os"": ""Windows 11"", ""mac"": ""e2:32:19:07:2f:79"", ""proto"": ""TLS1.2""}",normal
user_0025,user,2024-01-01 09:38:00,192.168.149.162,US-NY,/api/v1/inventory,token,True,34.01,[],"{""os"": ""Ubuntu 22.04"", ""mac"": ""8b:df:f8:0e:c7:ac"", ""proto"": ""MQTT""}",normal
user_0049,user,2024-01-01 09:44:00,10.40.5.95,US-TX,/api/v1/logs,certificate,True,32.41,[],"{""os"": ""macOS 14"", ""mac"": ""54:83:f6:97:ad:3a"", ""proto"": ""MQTT""}",normal
user_0074,user,2024-01-01 09:44:00,10.130.144.126,US-NY,/api/v1/payments,password,True,50.37,[],"{""os"": ""macOS 14"", ""mac"": ""3e:18:7a:d6:ea:20"", ""proto"": ""TLS1.3""}",normal
dev_0104,edge_device,2024-01-01 09:47:00,180.197.96.230,AU-SYD,/admin/users,certificate,True,0.68,"[""grep"", ""curl""]","{""os"": ""Ubuntu 22.04"", ""mac"": ""67:8a:8b:46:37:7a"", ""proto"": ""MQTT""}",normal
dev_0105,edge_device,2024-01-01 09:54:00,54.219.195.13,BR-SAO,/admin/users,certificate,True,0.5,"[""grep"", ""awk"", ""ls""]","{""os"": ""Ubuntu 22.04"", ""mac"": ""1a:33:d3:a9:f1:33"", ""proto"": ""MQTT""}",normal
user_0025,user,2024-01-01 09:58:00,172.29.128.114,US-NY,/admin/users,token,True,28.34,"[""curl"", ""ls"", ""cat""]","{""os"": ""Ubuntu 22.04"", ""mac"": ""8b:df:f8:0e:c7:ac"", ""proto"": ""MQTT""}",normal
user_0052,user,2024-01-01 10:09:00,196.139.118.18,JP-TYO,/api/v1/orders,token,True,14.32,[],"{""os"": ""CentOS 7"", ""mac"": ""78:b9:32:bc:b7:1f"", ""proto"": ""MQTT""}",normal
user_0051,user,2024-01-01 10:12:00,156.196.161.194,AU-SYD,/api/v1/payments,password,True,15.61,[],"{""os"": ""macOS 14"", ""mac"": ""fc:3b:31:78:45:c6"", ""proto"": ""MQTT""}",normal
user_0040,user,2024-01-01 10:17:00,86.113.113.171,AU-SYD,/api/v1/users,password,True,9.22,[],"{""os"": ""CentOS 7"", ""mac"": ""d3:1b:60:b9:ff:e2"", ""proto"": ""TLS1.3""}",normal
user_0060,user,2024-01-01 10:18:00,10.230.12.129,US-CA,/api/v1/logs,certificate,True,17.05,[],"{""os"": ""macOS 14"", ""mac"": ""2b:1a:4f:50:19:29"", ""proto"": ""SSH""}",normal
user_0011,user,2024-01-01 10:19:00,172.24.250.70,US-TX,/api/v1/reports,certificate,True,5.76,[],"{""os"": ""CentOS 7"", ""mac"": ""4f:61:97:6f:1d:1f"", ""proto"": ""SSH""}",normal
user_0050,user,2024-01-01 10:20:00,145.216.11.177,SG-SGP,/api/v1/payments,token,True,41.46,[],"{""os"": ""macOS 14"", ""mac"": ""c3:be:37:77:f1:0c"", ""proto"": ""SSH""}",normal
user_0027,user,2024-01-01 10:21:00,1.105.38.50,DE-BER,/api/v1/logs,password,True,5.97,[],"{""os"": ""Windows 11"", ""mac"": ""14:0f:7e:66:0a:4e"", ""proto"": ""TLS1.2""}",normal
dev_0114,edge_device,2024-01-01 10:22:00,29.152.6.189,BR-SAO,/admin/config,certificate,True,3.87,"[""ls"", ""sed"", ""grep"", ""cat""]","{""os"": ""Ubuntu 22.04"", ""mac"": ""54:a7:e2:3b:69:fa"", ""proto"": ""MQTT""}",normal
svc_0093,service_account,2024-01-01 10:24:00,183.163.143.38,UK-LDN,/api/v1/logs,token,True,6.65,[],"{""os"": ""CentOS 7"", ""mac"": ""ff:9d:fe:0b:2e:c9"", ""proto"": ""TLS1.3""}",normal
user_0025,user,2024-01-01 10:29:00,172.20.168.47,US-NY,/api/v1/orders,token,True,33.08,[],"{""os"": ""Ubuntu 22.04"", ""mac"": ""8b:df:f8:0e:c7:ac"", ""proto"": ""MQTT""}",normal
user_0003,user,2024-01-01 10:34:00,196.168.251.120,IN-MUM,/api/v1/logs,token,True,11.48,[],"{""os"": ""macOS 14"", ""mac"": ""70:a6:1c:75:10:a1"", ""proto"": ""MQTT""}",normal
user_0018,user,2024-01-01 10:36:00,211.101.114.140,DE-BER,/admin/users,certificate,True,13.58,"[""ls"", ""curl"", ""cat""]","{""os"": ""macOS 14"", ""mac"": ""13:37:de:b0:a0:df"", ""proto"": ""TLS1.3""}",normal
user_0042,user,2024-01-01 10:38:00,187.125.165.146,AU-SYD,/admin/users,password,True,39.21,"[""awk"", ""ls"", ""grep""]","{""os"": ""macOS 14"", ""mac"": ""d4:ae:88:01:90:98"", ""proto"": ""MQTT""}",normal
dev_0114,edge_device,2024-01-01 10:42:00,200.150.183.73,BR-SAO,/admin/config,certificate,True,6.41,"[""awk"", ""sed""]","{""os"": ""Ubuntu 22.04"", ""mac"": ""54:a7:e2:3b:69:fa"", ""proto"": ""MQTT""}",normal
dev_0107,edge_device,2024-01-01 10:49:00,209.222.157.72,UK-LDN,/api/v1/orders,certificate,True,0.55,[],"{""os"": ""CentOS 7"", ""mac"": ""5a:12:cb:fd:5f:94"", ""proto"": ""MQTT""}",normal
user_0008,user,2024-01-01 10:49:00,142.11.86.77,UK-LDN,/api/v1/users,certificate,True,7.77,[],"{""os"": ""Ubuntu 22.04"", ""mac"": ""03:24:1e:75:22:10"", ""proto"": ""SSH""}",normal
user_0037,user,2024-01-01 10:49:00,10.200.153.18,US-CA,/api/v1/users,password,True,16.72,[],"{""os"": ""Ubuntu 22.04"", ""mac"": ""88:48:24:1e:54:9d"", ""proto"": ""SSH""}",normal
user_0078,user,2024-01-01 10:51:00,147.19.131.255,DE-BER,/api/v1/logs,certificate,True,15.86,[],"{""os"": ""CentOS 7"", ""mac"": ""bc:88:2a:d9:28:dc"", ""proto"": ""TLS1.2""}",normal
user_0017,user,2024-01-01 10:56:00,215.156.43.9,SG-SGP,/api/v1/inventory,password,True,7.63,[],"{""os"": ""CentOS 7"", ""mac"": ""71:66:eb:b3:9c:74"", ""proto"": ""TLS1.2""}",normal
user_0057,user,2024-01-01 10:57:00,105.158.137.107,IN-MUM,/api/v1/reports,token,True,17.1,[],"{""os"": ""macOS 14"", ""mac"": ""bf:4e:f2:22:2e:2b"", ""proto"": ""TLS1.3""}",normal
user_0002,user,2024-01-01 11:00:00,10.127.73.64,US-CA,/admin/users,password,True,36.15,"[""ls"", ""sed""]","{""os"": ""Ubuntu 22.04"", ""mac"": ""94:28:77:33:c2:8e"", ""proto"": ""MQTT""}",normal
user_0063,user,2024-01-01 11:04:00,188.249.71.212,AU-SYD,/api/v1/payments,password,True,32.73,[],"{""os"": ""CentOS 7"", ""mac"": ""0a:a6:57:eb:b9:2d"", ""proto"": ""MQTT""}",normal
user_0050,user,2024-01-01 11:12:00,212.75.54.29,SG-SGP,/admin/config,token,True,37.51,"[""cat"", ""curl"", ""grep""]","{""os"": ""macOS 14"", ""mac"": ""c3:be:37:77:f1:0c"", ""proto"": ""SSH""}",normal
user_0050,user,2024-01-01 11:15:00,165.176.191.255,SG-SGP,/api/v1/payments,token,True,36.69,[],"{""os"": ""macOS 14"", ""mac"": ""c3:be:37:77:f1:0c"", ""proto"": ""SSH""}",normal
user_0072,user,2024-01-01 11:16:00,79.12.66.41,AU-SYD,/api/v1/orders,password,True,30.24,[],"{""os"": ""Ubuntu 22.04"", ""mac"": ""8b:e6:4b:df:2e:71"", ""proto"": ""MQTT""}",normal
user_0079,user,2024-01-01 11:17:00,190.22.82.57,IN-MUM,/api/v1/reports,token,True,23.97,[],"{""os"": ""Windows 11"", ""mac"": ""b4:de:8c:1d:26:cf"", ""proto"": ""SSH""}",normal
user_0050,user,2024-01-01 11:20:00,131.22.241.60,SG-SGP,/api/v1/payments,token,True,34.4,[],"{""os"": ""macOS 14"", ""mac"": ""c3:be:37:77:f1:0c"", ""proto"": ""SSH""}",normal
user_0056,user,2024-01-01 11:22:00,10.119.202.26,US-CA,/api/v1/payments,certificate,True,20.28,[],"{""os"": ""macOS 14"", ""mac"": ""c3:96:e8:dc:32:3a"", ""proto"": ""TLS1.2""}",normal
user_0011,user,2024-01-01 11:23:00,172.22.192.158,US-TX,/admin/config,certificate,True,4.48,"[""grep"", ""cat"", ""ls"", ""awk""]","{""os"": ""CentOS 7"", ""mac"": ""4f:61:97:6f:1d:1f"", ""proto"": ""SSH""}",normal
user_0040,user,2024-01-01 11:24:00,160.7.200.51,AU-SYD,/api/v1/users,password,True,8.55,[],"{""os"": ""CentOS 7"", ""mac"": ""d3:1b:60:b9:ff:e2"", ""proto"": ""TLS1.3""}",normal
user_0041,user,2024-01-01 11:26:00,11.247.11.233,AU-SYD,/admin/config,password,True,40.29,"[""cat"", ""curl""]","{""os"": ""CentOS 7"", ""mac"": ""2f:73:3a:ec:3c:4e"", ""proto"": ""MQTT""}",normal
user_0042,user,2024-01-01 11:28:00,193.113.6.209,SG-SGP,/api/v1/payments,password,True,40.15,[],"{""os"": ""macOS 14"", ""mac"": ""d4:ae:88:01:90:98"", ""proto"": ""MQTT""}",normal
user_0074,user,2024-01-01 11:31:00,172.18.11.75,US-NY,/api/v1/users,password,True,30.87,[],"{""os"": ""macOS 14"", ""mac"": ""3e:18:7a:d6:ea:20"", ""proto"": ""TLS1.3""}",normal
user_0014,user,2024-01-01 11:36:00,196.83.52.0,BR-SAO,/api/v1/orders,password,True,11.07,[],"{""os"": ""Ubuntu 22.04"", ""mac"": ""8b:90:6b:af:68:87"", ""proto"": ""MQTT""}",normal
user_0027,user,2024-01-01 11:38:00,152.109.178.72,SG-SGP,/api/v1/payments,password,True,8.64,[],"{""os"": ""Windows 11"", ""mac"": ""14:0f:7e:66:0a:4e"", ""proto"": ""TLS1.2""}",normal
user_0071,user,2024-01-01 11:40:00,56.138.5.201,AU-SYD,/api/v1/logs,password,True,27.51,[],"{""os"": ""macOS 14"", ""mac"": ""e1:ec:90:c3:d6:52"", ""proto"": ""TLS1.2""}",normal
user_0069,user,2024-01-01 11:42:00,179.57.157.89,BR-SAO,/api/v1/inventory,token,True,17.07,[],"{""os"": ""Windows 11"", ""mac"": ""b9:9e:5c:6d:ae:f8"", ""proto"": ""TLS1.2""}",normal
user_0026,user,2024-01-01 11:52:00,31.152.4.185,JP-TYO,/admin/users,token,True,22.66,"[""ls"", ""cat"", ""awk""]","{""os"": ""Ubuntu 22.04"", ""mac"": ""ec:5d:19:85:c2:a7"", ""proto"": ""TLS1.2""}",normal
user_0021,user,2024-01-01 11:56:00,192.168.252.141,US-CA,/api/v1/payments,password,False,17.6,[],"{""os"": ""Ubuntu 22.04"", ""mac"": ""4b:0c:17:7d:f3:25"", ""proto"": ""MQTT""}",normal
user_0009,user,2024-01-01 11:58:00,143.254.15.58,BR-SAO,/api/v1/inventory,password,True,7.09,[],"{""os"": ""Windows 11"", ""mac"": ""dc:b5:d8:d2:ef:1b"", ""proto"": ""TLS1.3""}",normal
user_0015,user,2024-01-01 12:06:00,172.19.234.183,US-CA,/api/v1/users,password,True,26.14,[],"{""os"": ""macOS 14"", ""mac"": ""52:e2:da:04:39:26"", ""proto"": ""TLS1.2""}",normal
user_0027,user,2024-01-01 12:11:00,36.244.32.92,SG-SGP,/admin/users,password,True,10.3,"[""ls"", ""cat""]","{""os"": ""Windows 11"", ""mac"": ""14:0f:7e:66:0a:4e"", ""proto"": ""TLS1.2""}",normal
user_0079,user,2024-01-01 12:13:00,55.52.120.161,IN-MUM,/api/v1/payments,token,True,19.47,[],"{""os"": ""Windows 11"", ""mac"": ""b4:de:8c:1d:26:cf"", ""proto"": ""SSH""}",normal
user_0079,user,2024-01-01 12:17:00,64.204.230.108,IN-MUM,/api/v1/inventory,token,True,21.15,[],"{""os"": ""Windows 11"", ""mac"": ""b4:de:8c:1d:26:cf"", ""proto"": ""SSH""}",normal
user_0024,user,2024-01-01 12:20:00,192.168.152.20,US-TX,/admin/users,token,True,38.27,"[""curl"", ""cat""]","{""os"": ""macOS 14"", ""mac"": ""ee:d4:1f:69:d7:c7"", ""proto"": ""TLS1.3""}",normal
dev_0109,edge_device,2024-01-01 12:24:00,69.158.117.201,AU-SYD,/admin/users,certificate,True,0.65,"[""ls"", ""cat"", ""grep"", ""awk""]","{""os"": ""Windows 11"", ""mac"": ""ac:97:62:59:cf:da"", ""proto"": ""TLS1.3""}",normal
user_0006,user,2024-01-01 12:26:00,194.30.141.104,BR-SAO,/api/v1/payments,certificate,True,4.84,[],"{""os"": ""Windows 11"", ""mac"": ""a5:fa:09:39:b9:9d"", ""proto"": ""TLS1.2""}",normal
user_0078,user,2024-01-01 12:31:00,192.168.39.17,US-CA,/api/v1/inventory,certificate,False,29.24,[],"{""os"": ""CentOS 7"", ""mac"": ""bc:88:2a:d9:28:dc"", ""proto"": ""TLS1.2""}",normal
user_0049,user,2024-01-01 12:35:00,172.26.147.133,US-TX,/api/v1/inventory,certificate,True,34.46,[],"{""os"": ""macOS 14"", ""mac"": ""54:83:f6:97:ad:3a"", ""proto"": ""MQTT""}",normal
user_0060,user,2024-01-01 12:43:00,172.22.217.31,US-CA,/api/v1/inventory,certificate,True,20.78,[],"{""os"": ""macOS 14"", ""mac"": ""2b:1a:4f:50:19:29"", ""proto"": ""SSH""}",normal
user_0077,user,2024-01-01 12:47:00,75.103.180.116,AU-SYD,/api/v1/inventory,password,True,15.08,[],"{""os"": ""macOS 14"", ""mac"": ""9e:cb:f2:81:12:61"", ""proto"": ""SSH""}",normal
svc_0091,service_account,2024-01-01 12:48:00,168.99.25.170,IN-MUM,/admin/users,token,True,5.45,"[""grep"", ""curl"", ""ls"", ""cat""]","{""os"": ""macOS 14"", ""mac"": ""cc:42:bd:36:a3:7b"", ""proto"": ""TLS1.3""}",normal
user_0052,user,2024-01-01 12:48:00,172.26.89.139,US-TX,/api/v1/users,token,True,12.85,[],"{""os"": ""CentOS 7"", ""mac"": ""78:b9:32:bc:b7:1f"", ""proto"": ""MQTT""}",normal
user_0022,user,2024-01-01 12:51:00,199.27.47.87,SG-SGP,/api/v1/payments,password,True,19.36,[],"{""os"": ""Windows 11"", ""mac"": ""d9:70:5a:ed:19:7f"", ""proto"": ""TLS1.3""}",normal
dev_0113,edge_device,2024-01-01 12:51:00,126.19.78.22,JP-TYO,/api/v1/reports,certificate,True,0.72,[],"{""os"": ""CentOS 7"", ""mac"": ""6f:7e:29:e4:b9:27"", ""proto"": ""MQTT""}",normal
user_0075,user,2024-01-01 12:56:00,135.217.175.244,BR-SAO,/api/v1/inventory,password,True,6.91,[],"{""os"": ""CentOS 7"", ""mac"": ""5f:2b:b8:22:0a:c7"", ""proto"": ""MQTT""}",normal
user_0067,user,2024-01-01 12:56:00,197.45.70.160,AU-SYD,/api/v1/users,password,True,45.45,[],"{""os"": ""CentOS 7"", ""mac"": ""e0:51:ba:be:90:c6"", ""proto"": ""MQTT""}",normal
dev_0106,edge_device,2024-01-01 13:00:00,81.129.86.140,BR-SAO,/api/v1/reports,certificate,True,3.4,[],"{""os"": ""CentOS 7"", ""mac"": ""f4:66:93:a4:92:1e"", ""proto"": ""MQTT""}",normal
user_0060,user,2024-01-01 13:01:00,192.168.23.143,US-CA,/api/v1/orders,certificate,True,20.46,[],"{""os"": ""macOS 14"", ""mac"": ""2b:1a:4f:50:19:29"", ""proto"": ""SSH""}",normal
user_0022,user,2024-01-01 13:01:00,53.42.98.54,SG-SGP,/admin/users,password,True,18.17,"[""curl"", ""awk""]","{""os"": ""Windows 11"", ""mac"": ""d9:70:5a:ed:19:7f"", ""proto"": ""TLS1.3""}",normal
svc_0091,service_account,2024-01-01 13:03:00,187.253.239.102,IN-MUM,/admin/users,token,True,4.82,"[""curl"", ""sed""]","{""os"": ""macOS 14"", ""mac"": ""cc:42:bd:36:a3:7b"", ""proto"": ""TLS1.3""}",normal
user_0072,user,2024-01-01 13:03:00,172.20.126.26,US-NY,/api/v1/payments,password,True,47.02,[],"{""os"": ""Ubuntu 22.04"", ""mac"": ""8b:e6:4b:df:2e:71"", ""proto"": ""MQTT""}",normal
user_0029,user,2024-01-01 13:08:00,35.194.29.70,JP-TYO,/admin/config,token,True,29.71,"[""awk"", ""grep"", ""sed""]","{""os"": ""CentOS 7"", ""mac"": ""36:dd:b9:eb:4e:de"", ""proto"": ""TLS1.2""}",normal
user_0054,user,2024-01-01 13:12:00,10.144.240.234,US-CA,/admin/users,password,True,30.84,"[""awk"", ""cat"", ""sed"", ""ls""]","{""os"": ""macOS 14"", ""mac"": ""08:59:87:1a:40:d7"", ""proto"": ""TLS1.3""}",normal
user_0073,user,2024-01-01 13:14:00,192.128.83.94,SG-SGP,/api/v1/users,password,True,26.43,[],"{""os"": ""macOS 14"", ""mac"": ""4a:46:13:92:f1:47"", ""proto"": ""MQTT""}",normal
